Project Name,p_link,BHK,Price,Price per Sqft,Area with Type,No_open_sides,Boundary_Wall,Width of Facing road,Ownership,Authority Approved,Corner_Property,Gated Society,Address,Facing,Construction Status,Age Possession/completion date,Property Status,RERA ID,Property ID,Nearby Landmarks,Features,Key Highlights,Open Space (in %),Units Available,Description,Ratings
Hebatpur,https://www.99acres.com/residential-land-plot-for-sale-in-hebatpur-ahmedabad-west-556-sq-yard-spid-E82938344,Residential land / Plot,7.28 Cr,"₹14,556 /sqft",Plot_area 5004 sq.ft.l*b :*,4.0,Yes,30.0 ft,Freehold,"AMC,AUDA",Yes,Yes,"Hebatpur, Ahmedabad",East,Under Construction,Possession: Within 6 months *,Resale,not available,E82938344,[],"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']",['Feng Shui/ Vaastu Compliant'],,,"Plot for sale in hebatpur, 100 ft shilaj science city roadSize: 556 sq yards to 1165 sq yards30 ft internal roadR3 zone, limited community",
Arvind Highgrove,https://www.99acres.com/residential-land-plot-for-sale-in-arvind-highgrove-motidevti-ahmedabad-west-851-sq-yard-spid-S82765274,Residential land / Plot,1.5 Cr,"₹1,958 /sqft",Plot_area 7659 sq.ft.l*b :*,4.0,Yes,,Freehold,"AMC,AUDA",,Yes,"Arvind Highgrove, Motidevti, Ahmedabad",East,Ready To Move,Possession: Immediate *,Resale,not available,S82765274,"['Fortune Labels Enterprise', 'Shakti Kirana Store', 'Bhagay Vidhata Gifts Shop', 'Geeta Provision Store', 'Moraiya Primary School', 'Icici Bank ATM', 'Indusind Bank Atm', 'Ram Multispacility Hospitial', 'Ashray Hospital', 'Moraiya Railway Station', 'Bahuchar Auto Garage', 'Khodiyar Light Decoration', 'Patel.Ghanshyam.Electronics']","['Feng Shui / Vaastu Compliant', 'Swimming Pool', 'Gymnasium', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting', 'Banquet Hall', 'Badminton Court', 'Squash Court', 'Cricket Pitch']","['East Facing', 'Overlooking Park/Garden', 'Feng Shui/ Vaastu Compliant', 'Rain Water Harvesting', 'Premium Golf Villas & Plots in a Gated Golf Community Spread across 100+ Acres.', 'Fresh Inventory Release of Premium Plots', 'Executive Golf', ""Ahmedabad's Largest Shallow Water Lily Pond Spread over 3 Acres"", '40,000 sq. ft. Lavish Clubhouse', 'World-class Indoor & Outdoor Amenities with Excellent road connectivity & road infrastructure', 'An excellent location that has great potential for future appreciation']",,,"Plot for sale in arvind highgrove, kolat ahmedabad 
851 sq yards
1.50 cr nego",
Suramya Lifespaces,https://www.99acres.com/residential-land-plot-for-sale-in-sanand-ahmedabad-west-498-sq-yard-r2-spid-U78191105,Residential land / Plot,55.78 Lac,"₹1,244 /sqft",Plot_area 4482 sq.ft.l*b :*,4.0,Yes,25.0 ft,Freehold,"AMC,AUDA",Yes,Yes,"Suramya Lifespaces, Sanand, Ahmedabad",East,Ready To Move,Possession: Immediate *,Resale,not available,U78191105,"['Massom Children Hospital', 'Vishwa Vatsalya General Hospital', 'Sanand Hospital and Trauma Centre', 'Chauhan Hospital', 'Shreeji Multi Speciality Hospital', 'Sanand Janta Multispeciality Hospital', 'Ashirvad Hospital and Clinic', 'Navjeevan Doctor House', 'Sanjivani Hospital', 'Suvidha Orthopedic And Acccident Hospital']","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']","['East Facing', 'Corner Property', 'Feng Shui/ Vaastu Compliant', 'Rain Water Harvesting']",,,"Prime location plot for sale in suramya lifespace, sanand ahmedabad.
Plot size: 498 sq yards super built up","['Connectivity3.8/5', 'Lifestyle3.9/5', 'Safety3.8/5', 'Green Area3.7/5']"
The West Park by Adani Realty,https://www.99acres.com/residential-land-plot-for-sale-in-the-west-park-by-adani-realty-shantigram-ahmedabad-north-700-sq-yard-r3-spid-C76508809,Residential land / Plot,7 Cr,"₹11,111 /sqft",Plot_area 6300 sq.ft.l*b :*,4.0,Yes,,Freehold,"AMC,AUDA",,Yes,"The West Park by Adani Realty, Shantigram, Vaishnodevi Circle",East,Ready To Move,Possession: Immediate *,Resale,PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA11300/020323,C76508809,"['Thaltej Metro Station', 'Shoppers’ Plaza', 'Adani International School', 'Adani University', 'Jincy Multispeciality Hospital', 'KD Hospital', 'Sardar Patel Intl Airport', 'Khodiyar Railway Station', 'Inspire Business Park', 'Renaissance Ahmedabad Hotel', 'Play Planet Kids Zone', 'Belvedere Golf Court', 'Shantigram Football Stadium']","['Water Storage', 'Car Parking', 'Feng Shui / Vaastu Compliant', 'Gymnasium', 'Maintenance Staff', 'Rain Water Harvesting', 'Club House', ""Children's Play Area"", 'Park', 'Jogging Track', 'Yoga/Meditation Area', 'Cricket Pitch']","['East Facing', 'Overlooking Park/Garden', 'Feng Shui/ Vaastu Compliant', 'Rain Water Harvesting', 'Villas that can be curated, expanded and designed by residents themselves', 'Thoughtfully designed villas with picturesque walkways dotted with trees', 'Party lawn spread over 27000 sq.ft', 'Ample parking space available', 'The project is also located close to a number of schools, hospitals, and shopping malls']",,61.0,"Plot on sale at the west park adani shantigram vaishnodevi ahmedabad Plot size: 700 sq yard onwards Price: 7 cr* onwards Option to design villa by owner The west park villas in shantigram, ahmedabad The west park is a residential project developed by adani realty in shantigram located in the city of ahmedabad. This project provides you with the unique opportunity and flexibility to build a marv...",
Sanand,https://www.99acres.com/residential-land-plot-for-sale-in-sanand-ahmedabad-west-565-sq-yard-r1-spid-U80136737,Residential land / Plot,81.93 Lac,"₹1,611 /sqft",Plot_area 5085 sq.ft.l*b :*,4.0,Yes,30.0 ft,Freehold,"AMC,AUDA",,Yes,"Sanand, Ahmedabad",East,Ready To Move,Possession: Immediate *,Resale,not available,U80136737,[],"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']","['East Facing', 'Close to Hospital', 'Close to Railway Station', 'Overlooking Park/Garden', 'Feng Shui/ Vaastu Compliant', 'Rain Water Harvesting']",,,"Prime location plot for sale in suramya lifespaces, sanand.Near to club housePlot size:565 sq yards
Rate: 14,500/ sq yards","['Connectivity3.8/5', 'Lifestyle3.9/5', 'Safety3.8/5', 'Green Area3.7/5']"
Surdhara Circle,https://www.99acres.com/residential-land-plot-for-sale-in-thaltej-ahmedabad-west-400-sq-yard-r4-spid-Z76598183,Residential land / Plot,5.5 Cr,"₹15,278 /sqft",Plot_area 3600 sq.ft.l*b :*,4.0,Yes,40.0 ft,Freehold,"AMC,AUDA",Yes,Yes,"Surdhara Circle, Thaltej, Thaltej, Ahmedabad",East,Ready To Move,Possession: Immediate *,Resale,not available,Z76598183,"['Bhagwat Vidyapeeth', 'ambe mataa mandir', 'Bank of baroda ATM', 'Axis bank ATM', 'Cims Hospital Private Limieted', 'Motherhood Womens and Child Care Hospital', 'HCG Cancer Centre', 'Surveen Children Hospital And Vaccination Centre', 'Tirtham Surgical and Laparoscopic Centre', 'Samarpan Maternity And Urosurgical Hospital', 'Kalpana Maternity and Nursing Home Ahmedabad', 'Netram Care Eye Hospital', 'Om Children Hospital', 'Aditya Multi-Speciality Hospital', 'Gmers Medical College Hospital', 'Udit Hospital Multi Speciality', 'Shreekrishna Hospital and Health Care Centre', 'Shashwat Hospital and Research Center Ahmedabad', 'Sal Hospital and Medical Institute', 'Apex Heart Institute', 'Gurukrupa Hospital Ahmedabad', 'Dr.Atul Shah Eye Hospital', 'Neil Hospital Ahmedabad', 'Shree Mahavir Mutlispeciality Hospital and Icu', 'Sanjeevani Hospital Ahmedabad', 'Auroma Ent Hospital', 'J J Hospital Ahmedabad', 'Vallabh Surgical Hospital', 'Sainath Orhtopaedic Hospital', 'Aroma Womens Hospital', 'Mehta Hospital Siddhachal', 'Sitababa Hospital', 'Chandandwar Hospital', 'Shaishav Children Hospital Ahmedabad', 'Mahalaxmi Maternity Nursing Home and Sonography Center', 'Dr. Manish Goyal', 'Shangrila Bunglows', 'Ramanand gurukul swastik hall', 'Bharat Petroleum', 'Rajhans Cinemas', 'PVR acropolis mall', 'V.Desi Food Couet', 'Black Salt', 'Barbeque Nation', 'Indian Institute Of Management', 'RC TECHNICAL INSTITUTE', 'Amrita Vidyalayam', 'Nalanda School', 'Ambli road railway station', 'Azista Aerospace']","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']","['East Facing', 'Corner Property', 'Overlooking Main Road', 'Feng Shui/ Vaastu Compliant', 'Rain Water Harvesting']",,,"Plot for sale near surdhara circle, thaltej, ahmedabad.
 400 sq yard carpet","['Connectivity4.4/5', 'Lifestyle4.3/5', 'Safety4.3/5', 'Green Area4.2/5']"
vraj vihar 2,https://www.99acres.com/residential-land-plot-for-sale-in-south-bopal-ahmedabad-west-400-sq-yard-r1-spid-A81116367,Residential land / Plot,3.48 Cr,"₹9,667 /sqft",Plot_area 3600 sq.ft.l*b :45 ft.(13.72) m.*39 ft.(11.89) m.,1.0,Yes,30.0 ft,Freehold,"AMC,AUDA",,Yes,"vraj vihar 2, South Bopal, Ahmedabad",North-East,Ready To Move,Possession: Immediate *,Resale,not available,A81116367,"['SoBo Centre', 'State bank of india sbi ATM', 'Icici ATM', 'Hdfc ATM', 'Axis ATM', 'Atm hdfc bank', 'Sannidhya Hospital', 'Navkaar Hospital', 'Aastha Orthopaedic Hospital Ahmedabad', 'Devasya Superspeciality Kidney Institute and Research Centre', 'Shreeji Children Hospital', 'Royal Maternity and Nursing Home', 'Bopal Multispeciality Hospital', 'Vanza Hospital', 'Vaishali Hospital', 'Laxmi Heart and Medical Hospital', 'Jay Prasuti Gruh and Nursing Home', 'Krishna Maternity Nursing Home', 'Bopal Eye Care Centre', 'Shivam Hospital', 'Adarsh Hospital', 'Life Care Hospital', 'Apollo Pharmacy', 'Regus Business Centre', 'Sterling City', 'Bopal gam', 'AMTS Ghuma Bus terminal', 'Ghuma BRTS terminal', 'Indian oil CNG n Petrol', 'State bank of india', 'State bank of india', 'Purohit Chavana and Sweet Mart', 'Upper Crest', 'Hocco Eatery', ""McDonald's"", 'Jalaram Parotha house', 'Havmor restaurant', 'LJ University', 'DPS - Delhi Public School', 'Gora railway station']","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']","['Overlooking Park/Garden', 'Feng Shui/ Vaastu Compliant', 'Rain Water Harvesting']",,,Residential 400 sq yards nett carpet plot available for resale. Prime location. Gated society. We have multiple options available for resale. For more details for visit the property contact with us meldi properties south bopal,"['Connectivity4.3/5', 'Lifestyle4.2/5', 'Safety4.2/5', 'Green Area4.1/5']"
Chidanand Bunglows,https://www.99acres.com/residential-land-plot-for-sale-in-chidanand-bunglows-south-bopal-ahmedabad-west-664-sq-yard-r1-spid-L81116397,Residential land / Plot,4.98 Cr,"₹8,333 /sqft",Plot_area 5976 sq.ft.l*b :81 ft.(24.69) m.*72 ft.(21.94) m.,1.0,Yes,25.0 ft,Freehold,"AMC,AUDA",Yes,Yes,"Xxx4, Chidanand Bunglows, South Bopal, Ahmedabad",East,Ready To Move,Possession: Immediate *,Resale,not available,L81116397,"['SoBo Centre', 'State bank of india sbi ATM', 'Icici ATM', 'Hdfc ATM', 'Axis ATM', 'Atm hdfc bank', 'Sannidhya Hospital', 'Navkaar Hospital', 'Devasya Superspeciality Kidney Institute and Research Centre', 'Aastha Orthopaedic Hospital Ahmedabad', 'Shreeji Children Hospital', 'Royal Maternity and Nursing Home', 'Vaishali Hospital', 'Vanza Hospital', 'Laxmi Heart and Medical Hospital', 'Bopal Multispeciality Hospital', 'Jay Prasuti Gruh and Nursing Home', 'Krishna Maternity Nursing Home', 'Bopal Eye Care Centre', 'Shivam Hospital', 'Adarsh Hospital', 'Life Care Hospital', 'Apollo Pharmacy', 'Regus Business Centre', 'Sterling City', 'Bopal gam', 'AMTS Ghuma Bus terminal', 'Ghuma BRTS terminal', 'Indian oil CNG n Petrol', 'State bank of india', 'State bank of india', 'Purohit Chavana and Sweet Mart', 'Upper Crest', ""McDonald's"", 'Hocco Eatery', 'Jalaram Parotha house', 'Havmor restaurant', 'Bean Box Cafe', 'LJ University', 'DPS - Delhi Public School', 'Gora railway station']","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']","['Corner Property', 'Sobo Center Nearby', 'Overlooking Park/Garden', 'Feng Shui/ Vaastu Compliant', 'Rain Water Harvesting']",,,Residential plots available for resale. Prime location. Gated society. We have multiple options available for resale. 664 sq yards to 1000 sq yards options available. For more details for visit the property contact with us meldi properties south bopal.,"['Connectivity4.3/5', 'Lifestyle4.2/5', 'Safety4.2/5', 'Green Area4.1/5']"
Chitvan Bunglows,https://www.99acres.com/residential-land-plot-for-sale-in-chitvan-bunglows-south-bopal-ahmedabad-west-500-sq-yard-spid-F82103432,Residential land / Plot,4.25 Cr,"₹9,444 /sqft",Plot_area 4500 sq.ft.l*b :60 ft.(18.29) m.*57 ft.(17.37) m.,4.0,Yes,29.5 ft,Freehold,AMC,,Yes,"0001, Chitvan Bunglows, South Bopal, Ahmedabad",North,Ready To Move,Possession: Immediate *,Resale,not available,F82103432,"['SoBo Centre', 'State bank of india sbi ATM', 'Icici ATM', 'Hdfc ATM', 'Axis ATM', 'Atm hdfc bank', 'Sannidhya Hospital', 'Navkaar Hospital', 'Aastha Orthopaedic Hospital Ahmedabad', 'Royal Maternity and Nursing Home', 'Shreeji Children Hospital', 'Bopal Multispeciality Hospital', 'Devasya Superspeciality Kidney Institute and Research Centre', 'Vanza Hospital', 'Vaishali Hospital', 'Laxmi Heart and Medical Hospital', 'Shivam Hospital', 'Jay Prasuti Gruh and Nursing Home', 'Bopal Eye Care Centre', 'Krishna Maternity Nursing Home', 'Adarsh Hospital', 'Life Care Hospital', 'Apollo Pharmacy', 'Regus Business Centre', 'Sterling City', 'Bopal gam', 'AMTS Ghuma Bus terminal', 'Ghuma BRTS terminal', 'Indian oil CNG n Petrol', 'State bank of india', 'State bank of india', 'Purohit Chavana and Sweet Mart', 'Upper Crest', ""McDonald's"", 'Hocco Eatery', 'Jalaram Parotha house', 'Havmor restaurant', 'LJ University', 'DPS - Delhi Public School', 'Gora railway station']","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage']",['Feng Shui/ Vaastu Compliant'],,,Prime location plot available for saleFor more details & site visitContact us,"['Connectivity4.3/5', 'Lifestyle4.2/5', 'Safety4.2/5', 'Green Area4.1/5']"
AAROHI CLUB,https://www.99acres.com/residential-land-plot-for-sale-in-south-bopal-ahmedabad-west-277-sq-yard-r10-spid-L69922236,Residential land / Plot,2.35 Cr,"₹9,444 /sqft",Plot_area 2493 sq.ft.l*b :24 ft.(7.31) m.*12 ft.(3.66) m.,3.0,Yes,29.5 ft,Freehold,AUDA,Yes,Yes,"A 0060, AAROHI CLUB, South Bopal, Ahmedabad",South,Ready To Move,Possession: Immediate *,Resale,not available,L69922236,"['SoBo Centre', 'State bank of india sbi ATM', 'Icici ATM', 'Hdfc ATM', 'Axis ATM', 'Atm hdfc bank', 'Sannidhya Hospital', 'Navkaar Hospital', 'Aastha Orthopaedic Hospital Ahmedabad', 'Devasya Superspeciality Kidney Institute and Research Centre', 'Shreeji Children Hospital', 'Royal Maternity and Nursing Home', 'Bopal Multispeciality Hospital', 'Vanza Hospital', 'Vaishali Hospital', 'Laxmi Heart and Medical Hospital', 'Jay Prasuti Gruh and Nursing Home', 'Krishna Maternity Nursing Home', 'Bopal Eye Care Centre', 'Shivam Hospital', 'Adarsh Hospital', 'Life Care Hospital', 'Apollo Pharmacy', 'Regus Business Centre', 'Sterling City', 'Bopal gam', 'AMTS Ghuma Bus terminal', 'Ghuma BRTS terminal', 'Indian oil CNG n Petrol', 'State bank of india', 'State bank of india', 'Purohit Chavana and Sweet Mart', 'Upper Crest', 'Hocco Eatery', ""McDonald's"", 'Jalaram Parotha house', 'Havmor restaurant', 'LJ University', 'DPS - Delhi Public School', 'Gora railway station']",['Maintenance Staff'],['Overlooking Main Road'],,,Prime location residential plot available for resale. For more details for visit the property contact with us meldi properties south bopal.,"['Connectivity4.3/5', 'Lifestyle4.2/5', 'Safety4.2/5', 'Green Area4.1/5']"
Shilaj,https://www.99acres.com/residential-land-plot-for-sale-in-shilaj-ahmedabad-west-20329-sq-yard-spid-W82192222,Residential land / Plot,182.96 Cr,"₹10,000 /sqft",Plot_area 182961 sq.ft.l*b :*,1.0,Yes,39.4 ft,Freehold,,,Yes,"Shilaj, Ahmedabad",,Ready To Move,Possession: Immediate *,Resale,not available,W82192222,"['Atm hdfc bank', 'Adarsh Hospital', 'Shivam Hospital', 'Bopal Multispeciality Hospital', 'Royal Maternity and Nursing Home', 'Vanza Hospital', 'Life Care Hospital', 'Aastha Orthopaedic Hospital Ahmedabad', 'Shreeji Children Hospital', 'Bopal Eye Care Centre', 'Krishna Maternity Nursing Home', 'Vaishali Hospital', 'Laxmi Heart and Medical Hospital', 'Jay Prasuti Gruh and Nursing Home', 'Devasya Superspeciality Kidney Institute and Research Centre', 'Bopal gam', 'Sterling City', 'AMTS Ghuma Bus terminal', 'Ghuma BRTS terminal', 'Indian oil CNG n Petrol', 'Bean Box Cafe', 'Havmor restaurant', 'Jalaram Parotha house', 'Black Salt', 'DPS - Delhi Public School', 'Satva Vikas School', 'Ambli road railway station', 'Gora railway station']",[], ,,,"Planning to build residence in ahmedabad west? This plot in shilaj is the best deal for you. It's a 20329 sq.Yards (50% na/ 50% ag)super built up area property. To secure the perimeter, a boundary wall is present around the property. The possession of the property can be received immediately. The property belongs to owner through freehold ownership. This residential plot is all yours for 182.96...","['Connectivity3.9/5', 'Lifestyle3.8/5', 'Safety3.8/5', 'Green Area3.9/5']"
Olive Woods 2,https://www.99acres.com/residential-land-plot-for-sale-in-shilaj-ahmedabad-west-1700-sq-yard-spid-Y82191738,Residential land / Plot,14.45 Cr,"₹9,444 /sqft",Plot_area 15300 sq.ft.l*b :*,3.0,Yes,42.7 ft,Freehold,,,Yes,"Olive Woods 2, Shilaj, Ahmedabad",,Ready To Move,Possession: Immediate *,Resale,not available,Y82191738,"['Atm hdfc bank', 'Adarsh Hospital', 'Shivam Hospital', 'Bopal Multispeciality Hospital', 'Royal Maternity and Nursing Home', 'Vanza Hospital', 'Life Care Hospital', 'Aastha Orthopaedic Hospital Ahmedabad', 'Shreeji Children Hospital', 'Bopal Eye Care Centre', 'Krishna Maternity Nursing Home', 'Vaishali Hospital', 'Laxmi Heart and Medical Hospital', 'Jay Prasuti Gruh and Nursing Home', 'Devasya Superspeciality Kidney Institute and Research Centre', 'Bopal gam', 'Sterling City', 'AMTS Ghuma Bus terminal', 'Ghuma BRTS terminal', 'Indian oil CNG n Petrol', 'Bean Box Cafe', 'Havmor restaurant', 'Jalaram Parotha house', 'Black Salt', 'DPS - Delhi Public School', 'Satva Vikas School', 'Ambli road railway station', 'Gora railway station']",[], ,,,"Planning to build residence in ahmedabad west? This plot in shilaj is the best deal for you. It's a 1700 sq.Yards super built up area property. Boundary wall is already constructed to separate the plot from nearby properties. Immediately, possession of property can be transferred. The property belongs to owner through freehold ownership. This residential plot is all yours for 14.45 crore. Open ...","['Connectivity3.9/5', 'Lifestyle3.8/5', 'Safety3.8/5', 'Green Area3.9/5']"
RANAKPUR,https://www.99acres.com/residential-land-plot-for-sale-in-ahmedabad-west-3624-sq-yard-spid-U82133102,Residential land / Plot,48.92 Cr,"₹15,000 /sqft",Plot_area 32616 sq.ft.l*b :*,2.0,Yes,59.1 ft,Freehold,,Yes,,"RANAKPUR, Ahmedabad West, Ahmedabad",North-East,Ready To Move,Possession: Immediate *,Resale,not available,U82133102,[],[], ,,,"Check out this plot in ranakpur , ahmedabad west, an ideal destination to build your dream residence. The plot is around super built up area of 3624 sq.Yards in size. Construction on this property can be easily done upto 10 floors. Boundary wall is already constructed to separate the plot from nearby properties. Immediately, possession of property can be transferred. The property is owned under...",
Padmavati Society,https://www.99acres.com/residential-land-plot-for-sale-in-paldi-ahmedabad-west-400-sq-yard-spid-A82532936,Residential land / Plot,2.5 Cr,"₹6,944 /sqft",Plot_area 3600 sq.ft.l*b :90 ft.(27.43) m.*60 ft.(18.29) m.,4.0,Yes,60.0 ft,Co-operative Society,AMC,Yes,Yes,"Padmavati Society , Paldi, Ahmedabad",West,Ready To Move,Possession: Immediate *,Resale,not available,A82532936,[],"['Feng Shui / Vaastu Compliant', 'Water Storage', 'Rain Water Harvesting']",['Feng Shui/ Vaastu Compliant'],,,"Spacious, ready to build plot in p.T collage road,paldi, ahmedabad west. This 400 sq.Yards carpet area plot is your opportunity to build a exceptional residence. This property allows you to construct upto 3 floors. The property is guarded and secluded by boundary wall around it. Expected possession of property immediately. Currently the nature of ownership of the property is co-Operative societ...","['Connectivity4.3/5', 'Lifestyle4.3/5', 'Safety4.3/5', 'Green Area4.3/5']"
Park by the Repose PLOTS,https://www.99acres.com/residential-land-plot-for-sale-in-thol-mahesana-1200-sq-yard-spid-J81953192,Residential land / Plot,1.26 Cr,"₹1,167 /sqft",Plot_area 10800 sq.ft.l*b :*,2.0,Yes,,Freehold,AUDA,,Yes,"C-29, Park by the Repose PLOTS, Thol, Ahmedabad",North-West,Ready To Move,Possession: Immediate *,Resale,not available,J81953192,[],"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']",['Feng Shui/ Vaastu Compliant'],,,"This plot in thol provides you great opportunity to build a fabulous residence in ahmedabad south. This 1200 sq.Yards super built up area plot is your opportunity to build a exceptional residence. To secure the perimeter, a boundary wall is present around the property. The possession of the property can be received immediately. Currently the nature of ownership of the property is freehold. The ...",
Kashi Vishwanath Society,https://www.99acres.com/residential-land-plot-for-sale-in-maninagar-east-ahmedabad-east-300-sq-yard-spid-I81939404,Residential land / Plot,1.9 Cr,"₹7,037 /sqft",Plot_area 2700 sq.ft.l*b :54 ft.(16.46) m.*51 ft.(15.54) m.,3.0,Yes,25.0 ft,Freehold,AMC,,Yes,"A10, Kashi Vishwanath Society, Maninagar East, Ahmedabad",East,Ready To Move,Possession: Immediate *,Resale,not available,I81939404,"['Shree Swaminarayan Temple Gadi Sansthan', 'Manikarnikeshwar Mahadev Temple', 'Rukshmani Hospital', 'ESIS HOSPITAL', 'Rukshmani Government Hospital', 'Vivek Children Hospital Khokhara', 'Het Childcare Hospital', 'Vani Hospital & IVF center', 'Vani IVF Center', 'Pallav J M Desai Memorial Hospital Better Health Pvt.Ltd.', 'Aarti Surgical Nursing Home', 'Yogiji Medical Hospital', 'Dr Dipak C Shah E N T Hospital', 'Kunal Medical Hospital Ahmedabad', 'Ahmedabad Medical Centre', 'Palak Hospital Ahmedabad', 'Shrreeji Surgical Hospital', 'Aastha Hospital Ahmedabad', 'Kamal Hospital Ahmedabad', 'Child Care Surgical Hospital', 'Ravi Surgical Hospital Ahmedabad', 'Dr. Shurti Ent Hospital', 'Shashvat Child Care', 'Gandhi Charitable Homeopathy Clinic', 'Dr. Ashish B. Dave', 'Sharda Surgical Hospital', 'Shruti ENT Hospital', 'Kanan Maternity and Nursing Home', 'Parimal Hospital Ahmedabad', 'Devam Hospital', 'Apollo Clinic', 'Parikh Orthopedic Hospital', 'Ratan Deep Surgical And Endoscopy Clinic', 'Sneh Clinic', 'Kushi Women Hospital', 'Tiwaris Dental Clinic', 'Abhishek Hospital and Heart Centre', 'Nilkanth Hospital', 'Ashirwad Children and Eye Hospital', 'Synergy Neonatal and Pediatric Centre', 'Ansuya General Hospital', 'Dr. Dave Eye Care', 'Artificial Eye Surgery', 'Akshar Surgical Hospital Maninagar', 'Maya Maternity Hospital', 'V and M Orthopaedic Centre', 'Vasavda Community Centre', 'Maninagar Railway Station', 'Maninagar Bus stop', 'Maninagar railway station']",['Maintenance Staff'], ,,,Planning to build residence in ahmedabad east? This plot in maninagar east is the best deal for you. This 300 sq.Yards super built up area plot is your opportunity to build a exceptional residence. This property allows you to construct upto 3 floors. The property is guarded and secluded by boundary wall around it. Expected possession of property immediately. The owner of the property has freeho...,
Greens Residency,https://www.99acres.com/residential-land-plot-for-sale-in-panchi-ahmedabad-east-361-sq-yard-spid-Z82271652,Residential land / Plot,39.71 Lac,"₹1,222 /sqft",Plot_area 3249 sq.ft.l*b :108 ft.(32.92) m.*30 ft.(9.14) m.,4.0,,157.5 ft,Freehold,AUDA,Yes,Yes,"Greens Residency, Panchi, Ahmedabad",East,Under Construction,Possession: Dec 2027 *,Resale,not available,Z82271652,[],"['Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']", ,,,"Gap greens residency in dholera, ahmedabad south is a ready-To-Move housing society. This project is a perfect combination of comfort and style, specifically designed to suit your requirements and conveniences.Check out some of the features of gap fortune residency housing society.",
Riverview Residency 2,https://www.99acres.com/residential-land-plot-for-sale-in-panchi-ahmedabad-east-462-sq-yard-spid-C82271604,Residential land / Plot,50.82 Lac,"₹1,222 /sqft",Plot_area 4158 sq.ft.l*b :138 ft.(42.06) m.*30 ft.(9.14) m.,4.0,,157.5 ft,Freehold,AUDA,Yes,Yes,"Riverview Residency 2, Panchi, Ahmedabad",East,Under Construction,Possession: Dec 2027 *,Resale,not available,C82271604,[],"['Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']", ,,,"Gap riverview residency 2 in dholera, ahmedabad south is a ready-To-Move housing society. This project is a perfect combination of comfort and style, specifically designed to suit your requirements and conveniences.Check out some of the features of gap fortune residency housing society.",
Panchi,https://www.99acres.com/residential-land-plot-for-sale-in-panchi-ahmedabad-east-350-sq-yard-spid-P82271508,Residential land / Plot,38.5 Lac,"₹1,222 /sqft",Plot_area 3150 sq.ft.l*b :105 ft.(32.00) m.*30 ft.(9.14) m.,4.0,,150.9 ft,Freehold,AUDA,Yes,Yes,"Panchi, Ahmedabad",East,Under Construction,Possession: Dec 2027 *,Resale,not available,P82271508,[],"['Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']", ,,,"Gap riverview residency 1 in dholera, ahmedabad south is a ready-To-Move housing society. This project is a perfect combination of comfort and style, specifically designed to suit your requirements and conveniences.Check out some of the features of gap fortune residency housing society.",
Gardenvilla 2,https://www.99acres.com/residential-land-plot-for-sale-in-dholera-ahmedabad-south-429-sq-yard-spid-N82271420,Residential land / Plot,77.22 Lac,"₹2,000 /sqft",Plot_area 3861 sq.ft.l*b :126 ft.(38.40) m.*30 ft.(9.14) m.,4.0,Yes,65.0 ft,Freehold,AUDA,Yes,Yes,"Gardenvilla 2, Dholera, Ahmedabad",East,Under Construction,Possession: Within 6 months *,Resale,not available,N82271420,[],"['Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']", ,,,"Gap gardenvilla 2 residency in dholera, ahmedabad south is a ready-To-Move housing society. This project is a perfect combination of comfort and style, specifically designed to suit your requirements and conveniences.Check out some of the features of gap fortune residency housing society.","['Connectivity3.7/5', 'Lifestyle3.7/5', 'Safety3.7/5', 'Green Area3.7/5']"
Nest 63,https://www.99acres.com/residential-land-plot-for-sale-in-dholera-ahmedabad-south-350-sq-yard-spid-R82271276,Residential land / Plot,49 Lac,"₹1,556 /sqft",Plot_area 3150 sq.ft.l*b :105 ft.(32.00) m.*30 ft.(9.14) m.,4.0,Yes,65.0 ft,Freehold,AUDA,Yes,Yes,"Nest 63, Dholera, Ahmedabad",East,Under Construction,Possession: May 2027 *,Resale,not available,R82271276,[],"['Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']", ,,,"Gap nest 63 in dholera, ahmedabad south is a ready-To-Move housing society. This project is a perfect combination of comfort and style, specifically designed to suit your requirements and conveniences.Check out some of the features of gap fortune residency housing society.","['Connectivity3.7/5', 'Lifestyle3.7/5', 'Safety3.7/5', 'Green Area3.7/5']"
